date,Open,High,Low,Close,Volume,Adj Close,Stock
2008-10-24,"1,493.79","1,584.27","1,493.79","1,552.03","2,691,940,000.00","1,552.03",ggg
2008-10-27,"1,528.12","1,574.54","1,503.81","1,505.90","2,224,430,000.00","1,505.90",ggg
2008-10-28,"1,552.24","1,649.47","1,504.13","1,649.47","2,777,540,000.00","1,649.47",ggg
2008-10-29,"1,643.98","1,705.51","1,622.01","1,657.21","2,748,720,000.00","1,657.21",ggg
2008-10-30,"1,698.43","1,712.56","1,658.45","1,698.52","2,504,420,000.00","1,698.52",ggg
2008-10-31,"1,684.71","1,742.54","1,673.32","1,720.95","2,437,120,000.00","1,720.95",ggg
2008-11-03,"1,718.89","1,738.53","1,713.39","1,726.33","1,770,880,000.00","1,726.33",ggg
2008-11-04,"1,761.09","1,785.84","1,739.81","1,780.12","2,306,350,000.00","1,780.12",ggg
2008-11-05,"1,757.01","1,764.43","1,679.19","1,681.64","2,092,410,000.00","1,681.64",ggg
2008-11-06,"1,659.57","1,676.92","1,603.87","1,608.70","2,367,880,000.00","1,608.70",ggg
2008-11-07,"1,629.69","1,654.25","1,615.51","1,647.40","1,886,230,000.00","1,647.40",ggg
2008-11-10,"1,680.67","1,680.67","1,603.33","1,616.74","1,674,900,000.00","1,616.74",ggg
2008-11-11,"1,598.59","1,612.42","1,563.95","1,580.90","1,909,080,000.00","1,580.90",ggg
2008-11-12,"1,555.17","1,562.78","1,499.21","1,499.21","2,120,870,000.00","1,499.21",ggg
2008-11-13,"1,503.06","1,596.70","1,428.54","1,596.70","3,009,550,000.00","1,596.70",ggg
2008-11-14,"1,560.59","1,587.76","1,513.09","1,516.85","2,243,750,000.00","1,516.85",ggg
2008-11-17,"1,494.74","1,526.96","1,481.70","1,482.05","1,831,540,000.00","1,482.05",ggg
2008-11-18,"1,488.93","1,498.42","1,429.92","1,483.27","2,349,230,000.00","1,483.27",ggg
2008-11-19,"1,479.13","1,493.05","1,386.42","1,386.42","2,372,880,000.00","1,386.42",ggg
2008-11-20,"1,373.77","1,414.43","1,314.90","1,316.12","3,147,650,000.00","1,316.12",ggg
2008-11-21,"1,346.77","1,384.35","1,295.48","1,384.35","3,071,280,000.00","1,384.35",ggg
2008-11-24,"1,409.72","1,480.41","1,397.19","1,472.02","2,553,620,000.00","1,472.02",ggg
2008-11-25,"1,472.02","1,486.22","1,430.40","1,464.73","2,457,510,000.00","1,464.73",ggg
2008-11-26,"1,441.21","1,532.10","1,441.21","1,532.10","1,980,020,000.00","1,532.10",ggg
2008-11-28,"1,517.95","1,535.57","1,512.41","1,535.57","787,580,000.00","1,535.57",ggg
2008-12-01,"1,496.09","1,496.24","1,398.07","1,398.07","1,904,470,000.00","1,398.07",ggg
2008-12-02,"1,423.85","1,450.83","1,399.88","1,449.80","2,056,730,000.00","1,449.80",ggg
2008-12-03,"1,416.03","1,493.06","1,414.04","1,492.38","2,240,150,000.00","1,492.38",ggg
2008-12-04,"1,465.77","1,500.95","1,426.41","1,445.56","2,020,110,000.00","1,445.56",ggg
2008-12-05,"1,426.93","1,510.39","1,404.80","1,509.31","2,177,720,000.00","1,509.31",ggg
2008-12-08,"1,541.44","1,583.81","1,536.71","1,571.74","2,290,810,000.00","1,571.74",ggg
2008-12-09,"1,546.54","1,602.92","1,538.25","1,547.34","2,246,470,000.00","1,547.34",ggg
2008-12-10,"1,563.66","1,584.16","1,542.08","1,565.48","1,955,600,000.00","1,565.48",ggg
2008-12-11,"1,548.47","1,568.61","1,501.70","1,507.88","2,018,190,000.00","1,507.88",ggg
2008-12-12,"1,482.55","1,543.04","1,478.03","1,540.72","1,869,900,000.00","1,540.72",ggg
2008-12-15,"1,544.16","1,544.16","1,491.36","1,508.34","1,677,890,000.00","1,508.34",ggg
2008-12-16,"1,526.06","1,589.89","1,526.00","1,589.89","2,180,960,000.00","1,589.89",ggg
2008-12-17,"1,568.88","1,598.33","1,560.05","1,579.31","2,111,370,000.00","1,579.31",ggg
2008-12-18,"1,583.17","1,591.70","1,535.38","1,552.37","2,092,320,000.00","1,552.37",ggg
2008-12-19,"1,572.75","1,593.35","1,557.05","1,564.32","2,651,440,000.00","1,564.32",ggg
2008-12-22,"1,562.17","1,563.79","1,503.66","1,532.35","1,629,320,000.00","1,532.35",ggg
